n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,hits,misses,miss_rate
256,16,1,r,4096,548131052,157194937,507460214,197866931,0.2805
512,16,1,r,8192,548131052,157194937,546119773,159207372,0.2257
1024,16,1,r,16384,548131052,157194937,578742932,126584213,0.1795
2048,16,1,r,32768,548131052,157194937,629978108,75349037,0.1068
4096,16,1,r,65536,548131052,157194937,670298828,35028317,0.0497
